,price,kms_driven,owner,age,power,brand
67,106000.0,19000.0,1,6.0,350.0,2
68,29500.0,40700.0,1,12.0,220.0,7
69,290000.0,11350.0,1,7.0,650.0,12
70,110000.0,1600.0,1,6.0,350.0,2
71,27000.0,44410.0,1,10.0,125.0,7
72,65000.0,9800.0,1,11.0,350.0,2
73,150000.0,15000.0,1,3.0,350.0,2
74,55786.0,68000.0,2,7.0,223.0,6
75,45000.0,17757.0,1,8.0,180.0,7
76,146000.0,3900.0,1,2.0,250.0,4
77,115000.0,23700.0,1,4.0,350.0,2
78,30000.0,8250.0,1,3.0,100.0,7
79,93100.0,10000.0,1,5.0,200.0,7
80,82000.0,4300.0,2,3.0,150.0,4
81,260000.0,3800.0,1,2.0,650.0,2
82,38000.0,33000.0,1,7.0,125.0,5
83,130000.0,17500.0,2,4.0,250.0,10
84,118000.0,19000.0,1,4.0,410.0,2
85,14700.0,10000.0,1,11.0,135.0,7
86,85000.0,54000.0,1,6.0,350.0,2
87,40000.0,27000.0,1,7.0,220.0,7
88,50000.0,19000.0,1,6.0,150.0,4
89,71800.0,43500.0,1,7.0,350.0,2
91,75000.0,11575.0,1,4.0,200.0,7
92,1350000.0,190.0,1,1.0,1100.0,13
93,790000.0,19000.0,1,3.0,765.0,3
94,47000.0,8600.0,1,4.0,150.0,7
95,60000.0,2000.0,1,2.0,150.0,7
96,96700.0,5100.0,1,1.0,150.0,8
97,31900.0,9000.0,1,5.0,100.0,6
98,35000.0,44480.0,1,13.0,150.0,7
99,240000.0,11000.0,1,3.0,390.0,10
100,68000.0,16000.0,1,7.0,250.0,5
101,80000.0,26691.0,1,5.0,200.0,7
102,135000.0,45000.0,1,5.0,350.0,2
103,11100.0,12000.0,3,12.0,150.0,7
104,480000.0,14200.0,1,4.0,600.0,9
105,65000.0,41000.0,1,3.0,150.0,8
106,60000.0,15000.0,1,5.0,150.0,4
107,80000.0,12314.0,1,4.0,150.0,5
108,46000.0,11760.0,1,3.0,100.0,6
109,95000.0,22000.0,1,11.0,500.0,2
110,400000.0,1800.0,1,4.0,650.0,14
111,55000.0,4400.0,1,4.0,150.0,7
112,63000.0,16000.0,1,5.0,150.0,4
113,51000.0,9000.0,1,4.0,150.0,7
114,69900.0,8700.0,1,3.0,160.0,1
115,125000.0,1342.0,1,4.0,200.0,7
116,210000.0,21000.0,1,6.0,300.0,9
117,35900.0,19000.0,1,5.0,125.0,5
118,67000.0,13000.0,1,9.0,250.0,5
119,29339.0,12771.0,1,4.0,100.0,6
120,19695.0,51576.0,1,6.0,100.0,6
121,48672.0,608.0,1,2.0,110.0,6
122,40000.0,13680.0,1,9.0,150.0,5
123,500000.0,285.0,1,5.0,600.0,4
124,800000.0,3.0,1,3.0,1299.0,13
125,110000.0,24676.0,1,5.0,410.0,2
126,92500.0,11000.0,1,6.0,350.0,2
127,57000.0,28948.0,1,5.0,200.0,7
128,72500.0,10000.0,1,10.0,350.0,2
129,68000.0,16000.0,1,9.0,200.0,10
130,21500.0,10500.0,1,5.0,125.0,1
131,40000.0,20000.0,1,6.0,160.0,1
132,91000.0,18000.0,1,5.0,350.0,2
133,300000.0,3500.0,1,6.0,750.0,15
134,47000.0,70000.0,1,6.0,150.0,8
135,53000.0,18158.0,1,6.0,150.0,8
136,51000.0,39140.0,1,5.0,150.0,8
137,48000.0,27776.0,1,8.0,220.0,7
138,55000.0,32734.0,1,6.0,220.0,7
139,173300.0,14000.0,1,2.0,410.0,2
140,77000.0,13000.0,1,8.0,350.0,2
141,115000.0,5000.0,1,2.0,200.0,7
142,36000.0,39500.0,1,7.0,150.0,7
143,72000.0,29500.0,1,4.0,220.0,7
144,115000.0,14900.0,1,3.0,350.0,2
145,65000.0,2000.0,1,3.0,125.0,5
146,99000.0,4000.0,1,2.0,150.0,5
147,68500.0,68500.0,2,7.0,150.0,4
148,140000.0,2473.0,1,2.0,150.0,4
149,130000.0,9221.0,1,3.0,200.0,10
150,46000.0,37128.0,1,7.0,200.0,7
151,30000.0,16166.0,1,6.0,125.0,6
152,116000.0,11716.0,1,3.0,400.0,7
153,130000.0,8419.0,1,3.0,350.0,2
154,98000.0,13459.0,1,5.0,350.0,2
155,85000.0,14704.0,1,6.0,350.0,2
158,50000.0,9200.0,1,4.0,150.0,7
159,100000.0,30294.0,1,5.0,350.0,2
160,66000.0,19756.0,1,8.0,350.0,2
165,80000.0,12000.0,1,2.0,160.0,5
166,123600.0,7702.0,1,3.0,350.0,2
167,950000.0,312.0,1,3.0,1300.0,8
168,107000.0,17000.0,1,4.0,350.0,2
169,600000.0,16000.0,1,5.0,821.0,13
170,80000.0,3500.0,1,3.0,150.0,4
171,75000.0,11050.0,1,4.0,150.0,8
172,43778.0,948.0,1,2.0,125.0,6
173,118000.0,11200.0,2,5.0,200.0,10
174,68000.0,10407.0,1,5.0,150.0,4
175,27000.0,23000.0,1,8.0,125.0,7
176,48500.0,5500.0,1,2.0,100.0,6
177,15000.0,38000.0,1,15.0,223.0,6
178,95000.0,23000.0,1,5.0,200.0,10
179,145000.0,4500.0,1,4.0,200.0,10
180,62000.0,11227.0,1,3.0,150.0,4
181,25000.0,45000.0,1,9.0,100.0,6
182,700000.0,100.0,1,6.0,1198.0,13
183,160000.0,3500.0,1,3.0,500.0,2
184,47500.0,30000.0,1,5.0,220.0,7
185,21000.0,38000.0,1,9.0,150.0,4
186,18000.0,22000.0,1,12.0,125.0,4
187,36000.0,54560.0,1,8.0,223.0,6
188,52000.0,33150.0,1,6.0,150.0,4
189,435000.0,5550.0,2,7.0,883.0,15
190,68000.0,12077.0,1,5.0,200.0,1
191,80000.0,5000.0,1,4.0,220.0,7
192,110800.0,13300.0,1,6.0,500.0,2
193,85000.0,16000.0,1,2.0,160.0,1
194,145000.0,4000.0,1,2.0,350.0,2
195,145000.0,3000.0,1,3.0,400.0,7
196,149000.0,7000.0,1,3.0,350.0,2
197,60000.0,4000.0,1,2.0,100.0,6
198,140000.0,11000.0,1,4.0,350.0,2
199,85000.0,15000.0,1,7.0,200.0,10
200,86000.0,15000.0,1,3.0,220.0,7
201,115000.0,15500.0,1,4.0,350.0,2
202,83000.0,500.0,1,3.0,150.0,8
207,28000.0,35251.0,1,12.0,180.0,7
208,14500.0,35000.0,1,14.0,100.0,6
209,32000.0,22000.0,1,5.0,110.0,6
210,62500.0,26000.0,1,5.0,180.0,7
211,122500.0,10000.0,1,3.0,150.0,4
212,24500.0,15000.0,1,6.0,100.0,7
213,78500.0,26000.0,1,4.0,200.0,1
214,102500.0,21000.0,1,4.0,350.0,2
215,28000.0,28428.0,1,9.0,110.0,1
216,130000.0,10149.0,1,3.0,350.0,2
217,130000.0,7036.0,1,3.0,350.0,2
218,115000.0,7593.0,1,4.0,400.0,7
219,96000.0,17000.0,1,6.0,200.0,10
220,29500.0,15798.0,1,4.0,100.0,7
221,100000.0,4800.0,1,4.0,150.0,4
222,177982.0,7000.0,1,2.0,410.0,2
223,202000.0,11000.0,1,2.0,410.0,2
225,113000.0,28000.0,3,6.0,200.0,10
226,45400.0,23000.0,2,5.0,220.0,7
227,105000.0,16000.0,1,4.0,350.0,2
228,885000.0,300.0,1,2.0,959.0,13
229,30000.0,50000.0,1,6.0,150.0,4
230,22000.0,22000.0,1,6.0,100.0,7
231,115000.0,10000.0,1,4.0,350.0,2
232,55000.0,3000.0,1,4.0,150.0,7
233,20000.0,55000.0,1,9.0,125.0,7
234,56000.0,16500.0,1,4.0,110.0,6
235,28000.0,36000.0,1,5.0,100.0,1
236,44000.0,7329.0,1,3.0,125.0,6
237,190000.0,8780.0,1,2.0,400.0,7
238,78000.0,20000.0,1,8.0,350.0,2
239,18787.0,28164.0,1,10.0,125.0,5
240,51500.0,20600.0,1,6.0,200.0,7
241,54200.0,5700.0,1,6.0,220.0,7
242,175000.0,11277.0,1,3.0,500.0,2
243,48000.0,26000.0,1,7.0,220.0,7
244,40000.0,4000.0,1,5.0,110.0,5
245,102400.0,11600.0,1,4.0,400.0,7
246,65000.0,8800.0,1,3.0,150.0,4
247,170000.0,2100.0,1,4.0,390.0,10
248,12999.0,65000.0,1,13.0,150.0,7
249,87000.0,20000.0,1,6.0,200.0,10
250,45600.0,18000.0,2,5.0,220.0,7
251,42000.0,58000.0,1,7.0,180.0,7
252,47000.0,24445.0,1,8.0,200.0,7
253,31000.0,34525.0,1,7.0,100.0,7
254,72500.0,19000.0,1,4.0,150.0,8
255,80999.0,4000.0,1,3.0,150.0,8
256,85000.0,9148.0,1,6.0,200.0,7
257,60000.0,16000.0,1,5.0,160.0,1
258,148999.0,3694.0,1,4.0,400.0,7
259,49000.0,7524.0,1,5.0,150.0,7
260,30000.0,23000.0,1,8.0,100.0,6
261,140000.0,12800.0,1,6.0,200.0,10
262,237818.0,1440.0,1,2.0,390.0,10
265,23600.0,22672.0,2,6.0,150.0,4
266,100000.0,25000.0,1,8.0,500.0,2
267,160700.0,10000.0,1,3.0,200.0,10
268,78000.0,34200.0,1,6.0,350.0,2
269,45000.0,7000.0,1,4.0,150.0,7
270,60000.0,3490.0,1,9.0,350.0,2
271,150000.0,7500.0,1,5.0,200.0,10
272,37000.0,13500.0,1,5.0,150.0,7
273,125000.0,11000.0,1,5.0,350.0,2
274,70000.0,56353.0,1,5.0,200.0,7
275,40000.0,25000.0,1,7.0,220.0,7
276,62000.0,1123.0,1,2.0,125.0,4
277,280000.0,1500.0,1,2.0,650.0,2
278,44000.0,15000.0,1,4.0,150.0,7
279,85000.0,31000.0,1,7.0,350.0,2
280,51000.0,28000.0,1,5.0,220.0,7
281,75000.0,11460.0,1,3.0,220.0,7
282,160000.0,23000.0,1,5.0,390.0,10
283,106000.0,1175.0,1,2.0,200.0,7
284,599999.0,7800.0,3,5.0,675.0,3
285,85000.0,15000.0,1,7.0,250.0,5
286,31500.0,28653.0,1,8.0,100.0,6
287,150000.0,8000.0,2,6.0,250.0,14
288,210000.0,2100.0,1,2.0,295.0,16
289,50000.0,3300.0,1,4.0,125.0,7
290,29300.0,19000.0,1,6.0,100.0,7
291,35740.0,20400.0,1,4.0,125.0,7
292,24500.0,25000.0,1,10.0,150.0,4
293,45000.0,18000.0,1,7.0,223.0,6
294,210000.0,12000.0,1,4.0,390.0,10
298,71000.0,11000.0,1,9.0,350.0,2
303,80400.0,5100.0,2,4.0,250.0,4
304,135000.0,2200.0,1,4.0,350.0,2
305,350000.0,3100.0,1,6.0,750.0,15
306,57000.0,1500.0,1,11.0,223.0,6
307,76000.0,3000.0,1,2.0,200.0,6
308,42100.0,22560.0,1,11.0,150.0,7
309,73000.0,16658.0,1,6.0,150.0,4
310,366000.0,3135.0,1,3.0,302.0,9
311,61200.0,29000.0,2,3.0,160.0,5
312,82000.0,29860.0,1,7.0,350.0,2
313,120000.0,12000.0,1,5.0,350.0,2
315,80000.0,7000.0,1,3.0,160.0,1
316,81800.0,3700.0,1,2.0,150.0,8
317,45900.0,27000.0,1,6.0,220.0,7
319,86200.0,9300.0,1,4.0,200.0,7
320,40000.0,9000.0,1,3.0,100.0,6
321,10000.0,21389.0,1,12.0,150.0,6
322,155000.0,13500.0,1,5.0,250.0,14
323,46000.0,24374.0,1,6.0,200.0,7
324,215000.0,9600.0,1,4.0,390.0,10
326,23000.0,37000.0,1,7.0,110.0,5
327,55250.0,7781.0,2,3.0,220.0,7
328,58000.0,7758.0,1,2.0,110.0,6
329,66000.0,8000.0,1,3.0,150.0,4
330,55000.0,32000.0,1,7.0,223.0,6
331,89730.0,12100.0,1,9.0,500.0,2
332,108000.0,26811.0,1,6.0,350.0,2
333,314100.0,13500.0,1,3.0,320.0,4
334,125000.0,16500.0,1,39.0,350.0,2
335,18800.0,10401.0,1,8.0,100.0,6
336,417000.0,13000.0,2,5.0,750.0,15
337,105000.0,20500.0,1,4.0,400.0,7
338,20000.0,19211.0,1,6.0,110.0,5
339,88000.0,22500.0,1,10.0,350.0,2
340,47000.0,14009.0,1,2.0,125.0,7
341,95000.0,11000.0,1,2.0,220.0,7
342,108000.0,2982.0,1,3.0,150.0,4
343,186100.0,12000.0,1,3.0,390.0,10
344,81500.0,3000.0,1,1.0,125.0,5
345,20000.0,30806.0,1,5.0,100.0,7
346,15000.0,55000.0,2,13.0,150.0,7
347,39000.0,5000.0,1,5.0,150.0,7
348,102500.0,29000.0,1,5.0,350.0,2
349,87000.0,15000.0,1,7.0,350.0,2
350,118000.0,14500.0,1,3.0,400.0,7
351,131100.0,6200.0,1,4.0,350.0,2
355,42000.0,19000.0,1,5.0,160.0,5
356,45000.0,15000.0,1,4.0,110.0,5
359,255000.0,2200.0,1,3.0,310.0,17
360,78700.0,3710.0,1,2.0,160.0,1
361,62800.0,38400.0,2,7.0,250.0,5
362,35000.0,18000.0,1,6.0,150.0,7
363,33800.0,17000.0,1,5.0,150.0,7
364,125000.0,21000.0,3,11.0,250.0,12
365,146000.0,4700.0,1,5.0,410.0,2
366,569400.0,3174.0,1,6.0,899.0,9
367,1900000.0,1700.0,1,6.0,1800.0,18
368,600000.0,230.0,1,1.0,650.0,12
369,185000.0,3000.0,1,2.0,200.0,10
370,32000.0,32000.0,1,5.0,100.0,6
371,38000.0,21000.0,1,4.0,125.0,6
372,35000.0,38717.0,1,5.0,150.0,7
373,42000.0,1999.0,1,3.0,150.0,6
374,9350.0,39822.0,2,13.0,150.0,1
375,330000.0,7500.0,1,5.0,650.0,12
376,36500.0,23000.0,1,7.0,100.0,6
377,38000.0,17376.0,2,5.0,100.0,6
378,75000.0,33000.0,1,8.0,350.0,2
381,230000.0,9500.0,1,4.0,300.0,9
382,31500.0,20000.0,1,8.0,160.0,1
385,46000.0,35000.0,1,16.0,350.0,2
386,109900.0,8600.0,1,5.0,350.0,2
388,35000.0,18000.0,1,5.0,150.0,7
389,65000.0,18000.0,1,3.0,160.0,7
390,175000.0,1800.0,1,2.0,295.0,16
391,126000.0,23000.0,1,4.0,350.0,2
392,25000.0,29000.0,1,9.0,125.0,5
393,89000.0,5000.0,1,2.0,150.0,5
394,160000.0,7500.0,1,2.0,350.0,2
395,130000.0,15000.0,1,2.0,200.0,7
396,33500.0,26000.0,2,12.0,125.0,5
397,128000.0,8000.0,1,3.0,150.0,4
398,143000.0,7000.0,1,3.0,350.0,2
399,31000.0,31464.0,2,9.0,135.0,7
400,72000.0,7419.0,1,3.0,150.0,8
401,108500.0,10000.0,1,2.0,200.0,1
402,74500.0,10000.0,1,4.0,220.0,7
403,24000.0,6300.0,1,4.0,100.0,7
404,80000.0,17000.0,1,3.0,220.0,7
405,81000.0,22000.0,1,3.0,220.0,7
406,115000.0,15000.0,2,5.0,350.0,2
419,56500.0,10000.0,1,2.0,110.0,6
420,75000.0,16000.0,1,4.0,220.0,7
421,72000.0,32542.0,1,6.0,150.0,4
422,73000.0,7461.0,1,4.0,150.0,8
423,69500.0,28000.0,1,6.0,200.0,7
424,78500.0,9800.0,1,3.0,160.0,1
425,87000.0,7000.0,1,2.0,160.0,1
426,40000.0,16688.0,2,6.0,180.0,1
427,145000.0,16000.0,1,5.0,300.0,11
428,265000.0,12900.0,1,2.0,650.0,2
429,235000.0,7000.0,1,4.0,300.0,9
430,400000.0,3000.0,1,6.0,750.0,15
431,30000.0,11000.0,1,13.0,110.0,5
432,140000.0,14000.0,1,5.0,200.0,10
433,98000.0,17000.0,1,3.0,250.0,4
434,74500.0,5432.0,2,6.0,350.0,2
435,75000.0,3419.0,1,3.0,200.0,1
436,27500.0,25757.0,1,8.0,125.0,6
437,10200.0,71474.0,1,12.0,150.0,1
438,57000.0,17000.0,1,5.0,150.0,7
439,21000.0,34688.0,1,13.0,160.0,1
440,68500.0,8100.0,1,3.0,160.0,7
441,174500.0,7900.0,1,3.0,250.0,10
442,108000.0,20000.0,1,5.0,350.0,2
448,50000.0,12000.0,1,4.0,150.0,8
449,118000.0,12000.0,1,7.0,535.0,2
451,33000.0,17525.0,1,5.0,125.0,6
452,150000.0,9000.0,1,4.0,200.0,10
453,70000.0,5000.0,1,4.0,220.0,7
454,105000.0,13200.0,1,6.0,350.0,2
455,135000.0,5000.0,1,4.0,400.0,7
456,140000.0,7500.0,1,4.0,400.0,7
457,26000.0,28000.0,1,8.0,110.0,6
458,230000.0,1100.0,1,4.0,390.0,10
459,53000.0,25000.0,1,5.0,125.0,5
460,76000.0,7500.0,1,4.0,150.0,7
461,135000.0,7000.0,1,4.0,400.0,7
462,45000.0,10200.0,1,4.0,125.0,7
463,60000.0,3500.0,1,4.0,150.0,7
464,40000.0,15000.0,1,4.0,110.0,6
465,133000.0,8000.0,1,4.0,350.0,2
466,25000.0,33000.0,1,7.0,100.0,7
467,99999.0,5500.0,1,3.0,150.0,8
468,130000.0,14500.0,2,8.0,250.0,5
469,25000.0,40688.0,1,5.0,100.0,6
470,75000.0,15000.0,1,4.0,220.0,7
471,53000.0,10000.0,1,5.0,180.0,7
472,25000.0,16801.0,1,6.0,125.0,8
473,46500.0,21342.0,1,5.0,150.0,7
474,18999.0,38669.0,3,6.0,110.0,11
475,17800.0,10000.0,1,8.0,110.0,11
476,52000.0,17000.0,1,4.0,180.0,7
477,70000.0,13500.0,1,4.0,160.0,5
478,85000.0,7350.0,1,5.0,150.0,4
479,150000.0,4000.0,1,2.0,350.0,2
480,115000.0,27000.0,1,5.0,350.0,2
481,93200.0,6500.0,1,5.0,150.0,5
482,155000.0,21250.0,1,5.0,390.0,10
483,78000.0,16000.0,1,6.0,200.0,7
484,85000.0,12600.0,1,7.0,350.0,2
485,43000.0,32000.0,1,5.0,150.0,7
486,50390.0,45949.0,1,4.0,160.0,1
487,128700.0,15900.0,2,5.0,500.0,2
488,510000.0,5600.0,1,4.0,750.0,15
489,65000.0,33000.0,1,4.0,150.0,4
490,55000.0,2000.0,1,9.0,150.0,5
491,126000.0,6518.0,1,4.0,350.0,2
492,53300.0,10000.0,1,2.0,100.0,6
493,76000.0,10000.0,1,4.0,200.0,7
494,140000.0,10200.0,1,4.0,400.0,7
495,13600.0,87267.0,1,13.0,135.0,7
496,73000.0,2100.0,1,3.0,180.0,1
497,17000.0,28130.0,2,8.0,125.0,7
498,29000.0,39000.0,1,6.0,150.0,7
499,49000.0,7500.0,1,5.0,150.0,8
500,371100.0,6300.0,2,5.0,750.0,15
501,30000.0,7334.0,1,7.0,100.0,7
502,70000.0,3400.0,1,4.0,150.0,7
503,131000.0,9900.0,1,4.0,350.0,2
504,65000.0,7000.0,1,4.0,160.0,7
505,65000.0,2600.0,1,2.0,100.0,6
506,96000.0,24000.0,1,5.0,350.0,2
507,28500.0,30000.0,1,7.0,150.0,7
508,62400.0,8100.0,1,4.0,200.0,7
509,85000.0,34000.0,1,9.0,350.0,2
510,66000.0,15000.0,1,2.0,150.0,7
511,85000.0,7000.0,1,2.0,160.0,1
512,18551.0,21832.0,1,13.0,135.0,7
513,95000.0,13890.0,1,3.0,200.0,1
514,130000.0,8500.0,1,3.0,400.0,7
515,98000.0,7300.0,1,7.0,350.0,2
516,53400.0,1500.0,1,3.0,110.0,5
517,120000.0,8700.0,1,5.0,200.0,7
518,58000.0,44580.0,1,5.0,160.0,5
519,97000.0,10473.0,1,3.0,150.0,4
520,38000.0,29451.0,1,5.0,100.0,7
521,24500.0,14324.0,1,6.0,125.0,7
522,129000.0,1123.0,1,2.0,125.0,10
523,20000.0,28000.0,1,9.0,150.0,7
524,123000.0,900.0,1,4.0,350.0,2
525,62000.0,70000.0,1,14.0,350.0,2
526,82000.0,14180.0,1,7.0,150.0,4
527,24500.0,26453.0,1,9.0,125.0,5
528,59300.0,9107.0,1,3.0,150.0,4
529,41000.0,35000.0,1,7.0,125.0,6
530,80000.0,6300.0,1,3.0,150.0,4
531,93500.0,10100.0,2,7.0,500.0,2
540,43000.0,6336.0,1,4.0,150.0,7
544,150000.0,4981.0,1,6.0,390.0,10
545,22500.0,25431.0,1,9.0,100.0,7
547,69000.0,15000.0,1,3.0,180.0,7
549,75800.0,6500.0,1,3.0,200.0,7
555,30000.0,22000.0,1,9.0,110.0,1
556,225000.0,17300.0,1,6.0,300.0,9
557,355000.0,7400.0,1,7.0,750.0,15
558,58000.0,14000.0,1,5.0,160.0,1
559,60000.0,10300.0,1,5.0,150.0,7
560,75200.0,16000.0,1,3.0,150.0,8
561,130000.0,6200.0,1,4.0,350.0,2
562,26900.0,20000.0,1,9.0,180.0,7
563,145000.0,15000.0,1,4.0,200.0,10
564,154000.0,8000.0,1,6.0,390.0,10
565,350000.0,5000.0,1,5.0,750.0,15
566,105000.0,20000.0,1,6.0,350.0,2
567,260000.0,8500.0,1,3.0,310.0,17
568,89900.0,20000.0,1,6.0,350.0,2
569,25000.0,16000.0,1,7.0,100.0,6
570,220000.0,12500.0,1,3.0,390.0,10
571,150000.0,11500.0,1,5.0,390.0,10
572,60000.0,21000.0,2,6.0,150.0,5
573,110000.0,37000.0,1,7.0,500.0,2
574,42000.0,25868.0,1,8.0,150.0,5
575,106000.0,4508.0,1,4.0,150.0,4
576,34000.0,17501.0,1,10.0,150.0,7
577,55000.0,25000.0,1,5.0,160.0,5
578,526300.0,12000.0,1,3.0,650.0,12
579,41000.0,15800.0,1,4.0,100.0,7
584,785000.0,2900.0,1,4.0,1130.0,9
585,22000.0,42554.0,1,6.0,125.0,5
586,165147.0,12000.0,1,4.0,390.0,10
587,90000.0,13140.0,1,8.0,350.0,2
588,140000.0,9500.0,1,5.0,200.0,10
589,16800.0,134200.0,1,10.0,150.0,5
590,70000.0,11000.0,1,7.0,350.0,2
591,58000.0,29451.0,1,6.0,150.0,8
592,32000.0,21884.0,2,8.0,100.0,6
593,230000.0,16150.0,2,8.0,650.0,14
594,91800.0,1050.0,1,2.0,160.0,1
595,119000.0,10544.0,1,9.0,500.0,2
596,23000.0,30000.0,1,7.0,100.0,6
597,210000.0,6013.0,1,3.0,390.0,10
598,43000.0,17000.0,1,5.0,150.0,7
599,45000.0,5800.0,1,7.0,220.0,7
600,42000.0,6500.0,1,5.0,100.0,6
601,440000.0,10800.0,1,3.0,600.0,9
602,72250.0,6282.0,1,5.0,200.0,10
603,18200.0,40000.0,1,9.0,125.0,5
608,395000.0,5000.0,1,6.0,650.0,14
609,140000.0,2881.0,1,7.0,250.0,14
610,700000.0,14200.0,1,13.0,1000.0,4
611,72000.0,3490.0,1,3.0,200.0,6
612,18000.0,39859.0,1,11.0,150.0,4
613,1000000.0,4400.0,2,5.0,1200.0,13
614,750000.0,9500.0,1,4.0,1050.0,3
615,29000.0,9000.0,1,9.0,150.0,5
616,120000.0,11795.0,1,5.0,350.0,2
617,1260000.0,17000.0,1,4.0,1300.0,8
618,700000.0,172.0,1,3.0,1130.0,18
619,35000.0,26000.0,1,2.0,150.0,7
620,115000.0,14000.0,1,4.0,350.0,2
621,25000.0,20000.0,1,8.0,100.0,6
622,143500.0,5700.0,1,3.0,350.0,2
623,118000.0,10000.0,1,4.0,350.0,2
624,129500.0,6300.0,1,3.0,350.0,2
625,138000.0,7253.0,1,2.0,250.0,4
626,63000.0,19333.0,1,4.0,220.0,7
627,200000.0,1255.0,1,2.0,295.0,16
628,77500.0,45.0,1,3.0,150.0,4
629,99000.0,32158.0,1,6.0,350.0,2
630,27000.0,29858.0,1,4.0,100.0,7
631,44000.0,27000.0,1,6.0,220.0,7
632,28000.0,70251.0,1,13.0,150.0,7
633,22000.0,19000.0,1,9.0,150.0,4
634,19000.0,23420.0,1,10.0,100.0,7
635,126999.0,22000.0,1,5.0,200.0,10
636,25000.0,41000.0,1,8.0,100.0,1
637,90000.0,12500.0,1,3.0,200.0,7
638,89000.0,800.0,1,2.0,160.0,5
639,47000.0,13935.0,1,5.0,150.0,7
640,119500.0,12000.0,1,4.0,400.0,7
641,130000.0,20000.0,1,3.0,350.0,2
642,62000.0,11500.0,1,4.0,220.0,7
643,70000.0,7000.0,1,3.0,180.0,7
644,31000.0,21447.0,1,7.0,100.0,7
645,41500.0,15000.0,1,3.0,100.0,7
646,52500.0,9000.0,1,3.0,100.0,6
647,36000.0,2980.0,1,6.0,160.0,1
648,40000.0,17600.0,1,5.0,125.0,5
659,160000.0,5000.0,1,6.0,250.0,14
660,470000.0,12000.0,1,3.0,650.0,12
664,89000.0,3000.0,1,2.0,160.0,1
665,34000.0,26840.0,1,9.0,150.0,7
666,112000.0,4000.0,1,3.0,150.0,4
667,27000.0,35000.0,1,7.0,150.0,5
668,25000.0,28000.0,1,8.0,100.0,6
669,39100.0,16000.0,1,6.0,150.0,8
670,58500.0,11500.0,2,5.0,220.0,7
671,126000.0,20556.0,1,6.0,350.0,2
672,45000.0,40500.0,1,5.0,150.0,6
673,48000.0,13000.0,1,5.0,150.0,7
674,44800.0,30000.0,1,5.0,150.0,7
675,20300.0,39450.0,1,14.0,135.0,7
